name,gender
bhagvaan,M
sudha,F
lilabai,F
shila,F
vikki,F
punam,F
siza,F
suraj,M
mubshshira,F
chotti,F
ladli,F
firoz,F
ansal,M
pragti,F
aaditya,M
jaffar,M
jaisigh,M
lekhram,M
kavilash,M
rahimun,F
parshotam,M
nikhat,F
swarn,M
saksham,M
umme,F
sohib,M
kunti,F
marshilah,F
brajendra,M
iswer,M
mool,M
subhash,M
shipra,F
amarin,F
sarvjeet,M
mahjabi,F
reena,M
sandya,F
devpal,M
shqakuntla,F
muzim,M
preety,F
sehran,F
hardas,M
tarun,M
ratneshwar,M
veero,F
ritu,F
hini,F
bhanmati,F
omwati,F
sahiba,F
manlisa,F
fazin,F
saket,M
baniya,M
sabreen,F
shmejha,F
bhavesh,M
nila,M
dhulin,M
kishan,M
avinas,M
sourabh,M
ramkaran,M
tulsa,F
kantil,M
gurmit,F
menadevi,F
karina,F
ratni,F
shaboob,M
kaif,M
radhika,F
mamtha,F
sombir,M
ilayat,M
unknown,M
kifayat,M
kulina,F
rahis,M
arjun,M
amena,F
rauf,M
anoopama,F
devika,F
mintu,M
sagira,F
gulfara,F
anisha,F
kailesh,M
saveta,F
harbinder,M
gali,F
mahtab,M
prince,M
dataterya,M
munna,M
aman,M
dhurve,M
komal,M
vasu,F
navjat,F
susmita,F
rohit,M
prameela,F
lave,M
devdhari,M
manesh,M
jahani,F
md,M
manisha,M
ramavtar,M
gotiya,F
abhishek,M
anikt,M
babli,M
sarda,F
pool,F
manjiv,M
madhuri,F
sna,F
prhalad,M
sarojani,F
deepshikha,F
hemavanti,F
poneem,F
mithlesh,M
pushpender,F
ankus,M
ankur,M
sagufta,F
nitin,M
putulu,F
vikarm,M
nipam,F
chetram,M
kokila,F
rajnish,M
nirmala,F
patras,M
yashbir,M
nazmaa,F
gyanwati,M
jyotsana,F
kumari,F
sajiya,F
sattaram,M
naulesh,M
yogender,M
sumentra,F
motilaal,M
kaarti,F
bajulal,M
menka,F
gajana,F
moka,F
sanjay,M
devli,F
dharmendra,M
parsann,F
monty,M
arsi,F
jamee,F
mukish,M
amijan,F
rameh,M
smariti,F
deepchand,M
kirshna,M
siwani,F
rashid,M
gurupreet,F
harbai,F
anuska,F
sahenaj,F
kafia,F
shveta,F
abhishak,M
kooki,F
bhateri,F
noshad,M
sobha,F
hari,F
mahzbin,F
deepanshu,M
hasir,M
sahima,F
premawati,F
amar,F
disi,F
sakchan,M
riti,F
manful,F
vashanavi,F
kuldeep,F
saviha,F
satwinder,F
girdhari,M
gulreg,M
jarnail,M
bitto,F
mithilesh,F
juber,F
umesh,M
subhangi,F
sudesh,F
matul,F
lala,M
shaloo,F
lilaram,M
laxita,F
darfasha,F
sourab,M
sabiya,F
dauad,M
raziya,F
tiwnkal,F
nilu,M
bhuri,F
ansu,F
deepali,M
manisa,F
tripurari,M
lateef,M
huseni,F
shajid,M
swata,F
serul,F
mobsheera,F
shela,F
uday,M
anjal,F
mantu,M
sukkhu,M
nameeta,F
raj,F
hanif,M
nooralam,M
abhinay,M
chitra,M
rajinder,F
aarti,M
albaksha,M
savita,F
koshal,F
mohanlal,M
archna,M
ankit,M
mustkim,M
nanku,M
shahnam,F
sheak,M
dhani,M
gollu,M
birbal,M
kohinoor,F
jitu,M
liladevi,F
prmod,M
karishma,F
reena,F
dheerendra,M
nabila,F
kadir,M
birajbhushan,M
mukesh,F
sawrn,M
lakh,M
surbhi,F
rajanti,F
bachheshwar,M
badri,M
suhaliya,F
jagdish,M
pulita,F
nurbi,F
reshama,F
sibanaz,F
navnit,M
santo,F
jaslin,F
fornta,F
muksndi,M
lalmuni,F
dipanshu,M
puja,F
chandani,F
haji,M
waheeda,F
sushmita,F
jasbir,F
savreen,F
perveen,M
harsh,F
dabbu,M
lavkush,M
lisha,F
rupali,F
vanshu,M
pallavi,F
safiq,M
bismilla,F
kadu,F
akthari,F
indta,F
sardeep,M
dharmendr,M
asana,F
anupuma,F
venkatswaran,M
shahida,F
momena,F
vinaysingh,M
shahboob,M
sultan,M
manikchand,M
makan,M
gyarsi,M
hanish,M
amarjit,M
dwarika,M
husina,F
naziya,F
ramjanki,F
shafi,M
tanvir,F
ghaseeta,M
somesh,M
deen,M
bharat,M
ganga,M
irsad,M
dimple,F
sazia,F
kapil,M
annat,M
jhagdu,M
kumara,F
sahlesh,M
sachi,F
farida,F
saroja,F
farhaja,F
hongsi,F
virpal,M
jubeda,F
irshad,M
sahin,F
gulshan,F
akansh,M
ranjeeta,F
anamol,M
chiranjavi,M
akhlaq,M
foola,F
nathiya,F
fara,F
partyush,M
deepa,M
jitan,M
nakched,M
umardeen,M
vishavkarma,F
tej,M
inderpal,M
rupen,F
tajinder,M
masum,F
samsuddin,M
amritha,F
sudhdev,M
shakir,M
babu,M
namen,F
tundiram,M
husana,F
bavita,F
jhuma,F
jalaluddin,M
saeshta,F
rati,M
samya,F
prabhu,F
konti,F
supriya,F
taiyab,M
belo,F
yashodha,F
sakib,M
sushama,F
rizwaan,M
kulwinder,M
jamrujaha,F
sishpal,M
seetal,F
sharee,M
rajeev,M
phul,F
sozi,F
bhupendar,M
pree,F
tapsam,F
haseen,M
jaanki,F
sukesh,M
kawaljeet,M
mohammad,M
jhuhi,F
rajuddin,M
nooruddin,M
chanchal,F
ashma,F
chandra,F
fasrun,F
omparkesh,M
asmat,F
renuka,F
kirodimal,M
kishnaram,M
rambiri,F
sabba,F
srikant,M
kulbhushan,M
pramil,F
jaidev,M
marti,F
mnisha,F
saifali,F
angad,M
gurpreet,F
kedarnath,M
shabila,F
harprit,F
nischaya,M
baga,M
saraswati,F
dharmendera,M
shabi,M
molu,M
simran,M
ahmed,M
kasish,F
sudhata,F
shur,M
ashman,F
neni,F
subato,M
piryanka,F
kalua,M
meti,F
siya,F
sajju,M
zoya,F
sajda,F
supriyal,M
vishu,M
mitthun,M
sabrina,F
jhora,F
tarif,M
piroj,F
joya,F
safika,F
veeru,F
mithilesh,M
gurmit,M
pammy,F
mooldan,M
hasibullah,F
mandeep,F
nazirul,M
amrat,F
pritika,F
kalma,F
guddo,F
anil,M
shanta,F
rehmat,M
valentina,F
kamini,F
gilbahar,F
sahgufta,F
rajam,M
shushma,F
deepali,F
tasmina,F
sinder,M
darshna,F
hoor,F
beeti,F
anmol,M
karan,M
pappy,F
pritee,F
nini,F
jamuna,F
selva,M
upasna,F
sobit,M
iqbal,M
azhar,M
pratap,M
jeete,M
nijamuddin,M
dakshya,M
kanahiya,M
munnu,M
roopam,F
injum,F
nirmla,F
khalil,M
sukhavinder,M
mahesh,M
ankeet,F
mankuri,F
juhi,M
saiesta,F
mahinder,M
subhagya,F
hemani,F
ranju,M
gruchran,M
jaya,F
samundri,F
anayatha,F
etahsaam,M
nirmal,M
amrik,M
saheb,M
urvashi,F
saniya,F
ganeshi,M
shivani,F
nain,M
shilap,F
nirmaljeet,M
jitendera,M
babuddin,M
pari,M
jasveer,F
dimpal,F
rambrij,M
amana,F
sompal,M
shsi,M
lavi,F
krashana,F
sukrita,F
pankuj,M
karshana,F
jankidas,M
vikash,M
munshi,M
radheyshyam,M
jaivanti,F
radha,M
ikramudeen,M
hem,F
birender,M
goldan,F
shiraj,M
pramod,M
vijender,M
harnam,M
modh,M
salomi,F
akshay,M
shushila,F
sanju,F
anikesh,M
shaurabh,M
sanjogta,F
taran,F
sujal,M
hansraj,M
alijan,M
chandermani,M
